iter	Passed	Remaining
399	49415	74123
400	49526	73981
401	49610	73798
402	49736	73678
403	49793	73458
404	49937	73364
405	50061	73242
406	50194	73134
407	50274	72947
408	50428	72868
409	50503	72675
410	50633	72562
411	50784	72479
412	50901	72347
413	51010	72202
414	51130	72075
415	51228	71916
416	51333	71768
417	51467	71660
418	51579	71522
419	51744	71456
420	51876	71345
421	51986	71204
422	52111	71083
423	52218	70938
424	52317	70782
425	52461	70687
426	52570	70545
427	52726	70466
428	52833	70321
429	52909	70135
430	53013	69988
431	53126	69851
432	53240	69716
433	53393	69633
434	53507	69498
435	53605	69343
436	53760	69261
437	53872	69123
438	53995	69000
439	54119	68878
440	54267	68788
441	54374	68644
442	54493	68516
443	54683	68477
444	54824	68376
445	54934	68237
446	55019	68067
447	55158	67963
448	55328	67897
449	55451	67774
450	55586	67664
451	55663	67485
452	55814	67395
453	55939	67275
454	56058	67146
455	56169	67009
456	56320	66919
457	56437	66787
458	56568	66674
459	56736	66604
460	56900	66528
461	57035	66417
462	57145	66278
463	57268	66155
464	57413	66056
465	57562	65962
466	57682	65835
467	57787	65689
468	57914	65571
469	58069	65482
470	58191	65356
471	58311	65230
472	58434	65105
473	58581	65008
474	58670	64846
475	58814	64745
476	58989	64678
477	59181	64629
478	59317	64519
479	59399	64349
480	59541	64245
481	59719	64180
482	59793	64002
483	59932	63894
484	60092	63809
485	60240	63711
486	60368	63591
487	60497	63472
488	60671	63400
489	60791	63272
490	60919	63152
491	61064	63050
492	61196	62934
493	61320	62809
494	61412	62653
495	61501	62493
496	61615	62359
497	61752	62248
498	61854	62102
499	62007	62007
500	62142	61893
501	62253	61757
502	62345	61601
503	62454	61463
504	62516	61278
505	62659	61173
506	62816	61082
507	62967	60983
508	63140	60907
509	63290	60808
510	63383	60654
511	63459	60485
512	63588	60365
513	63725	60254
514	63857	60137
515	63968	60001
516	64053	59841
517	64182	59722
518	64345	59634
519	64477	59517
520	64624	59414
521	64769	59310
522	64911	59202
523	65023	59067
524	65169	58962
525	65245	58795
526	65403	58702
527	65529	58579
528	65653	58454
529	65736	58294
530	65862	58172
531	65952	58018
532	66068	57887
533	66211	57779
534	66344	57663
535	66438	57513
536	66564	57391
537	66679	57260
538	66863	57187
539	67010	57083
540	67150	56972
541	67277	56851
542	67420	56742
543	67568	56638
544	67663	56489
545	67791	56368
546	67927	56254
547	68054	56132
548	68181	56010
549	68280	55866
550	68386	55726
551	68539	55626
552	68707	55537
553	68873	55447
554	68985	55312
555	69136	55210
556	69248	55075
557	69423	54991
558	69551	54869
559	69707	54770
560	69888	54689
561	69994	54550
562	70108	54418
563	70247	54304
564	70306	54129
565	70416	53994
566	70559	53883
567	70643	53729
568	70787	53619
569	70925	53505
570	71076	53400
571	71183	53263
572	71326	53152
573	71413	53000
574	71563	52894
575	71631	52728
576	71736	52590
577	71792	52416
578	71851	52244
579	71978	52122
580	72089	51988
581	72236	51881
582	72333	51737
583	72439	51600
584	72498	51430
585	72643	51321
586	72790	51213
